election_name,election_year,district,state,tier,election_result,notes
GA - South Georgia - 2016,2016,GA - South Georgia,GA,,,
GA - Southwestern - 2012,2012,GA - Southwestern,GA,,,
GA - Southwestern - 2016,2016,GA - Southwestern,GA,,,
GA - Stone Mountain - 2012,2012,GA - Stone Mountain,GA,,,
GA - Stone Mountain - 2016,2016,GA - Stone Mountain,GA,,,
GA - Tallapoosa - 2012,2012,GA - Tallapoosa,GA,,,
GA - Tallapoosa - 2016,2016,GA - Tallapoosa,GA,,,
GA - Tifton - 2012,2012,GA - Tifton,GA,,,
GA - Tifton - 2016,2016,GA - Tifton,GA,,,
GA - Toombs - 2012,2012,GA - Toombs,GA,,,
GA - Toombs - 2016,2016,GA - Toombs,GA,,,
GA - Towaliga - 2012,2012,GA - Towaliga,GA,,,
GA - Towaliga - 2016,2016,GA - Towaliga,GA,,,
GA - Waycross - 2014,2014,GA - Waycross,GA,,,
GA - Waycross - 2018,2018,GA - Waycross,GA,,,
GA - Western - 2012,2012,GA - Western,GA,,,
GA - Western - 2016,2016,GA - Western,GA,,,
HI - Hawaii - 2012,2012,HI - Hawaii,HI,,,
HI - Hawaii - 2016,2016,HI - Hawaii,HI,,,
HI - Honolulu - 2012,2012,HI - Honolulu,HI,,,
HI - Honolulu - 2016,2016,HI - Honolulu,HI,,,
HI - Kauai - 2012,2012,HI - Kauai,HI,,,
HI - Kauai - 2016,2016,HI - Kauai,HI,,,
IA - Adair - 2014,2014,IA - Adair,IA,,,
IA - Adair - 2018,2018,IA - Adair,IA,,,
IA - Adams - 2012,2012,IA - Adams,IA,,,
IA - Adams - 2016,2016,IA - Adams,IA,,,
IA - Adams - 2018,2016,IA - Adams,IA,,,
IA - Allamakee - 2014,2014,IA - Allamakee,IA,,,
IA - Allamakee - 2018,2018,IA - Allamakee,IA,,,
IA - Appanoose - 2014,2014,IA - Appanoose,IA,,,
IA - Appanoose - 2018,2018,IA - Appanoose,IA,,,
IA - Audubon - 2014,2014,IA - Audubon,IA,,,
IA - Audubon - 2018,2018,IA - Audubon,IA,,,
IA - Benton - 2014,2014,IA - Benton,IA,,,
IA - Benton - 2018,2018,IA - Benton,IA,,,
IA - Black Hawk - 2016,2016,IA - Black Hawk,IA,,,
IA - Boone - 2014,2014,IA - Boone,IA,,,
IA - Boone - 2018,2018,IA - Boone,IA,,,
IA - Bremer - 2014,2014,IA - Bremer,IA,,,
IA - Bremer - 2018,2018,IA - Bremer,IA,,,
IA - Buchanan - 2014,2014,IA - Buchanan,IA,,,
IA - Buchanan - 2018,2018,IA - Buchanan,IA,,,
IA - Buena Vista - 2014,2014,IA - Buena Vista,IA,,,
IA - Buena Vista - 2018,2018,IA - Buena Vista,IA,,,
IA - Butler - 2014,2014,IA - Butler,IA,,,
IA - Butler - 2018,2018,IA - Butler,IA,,,
IA - Calhoun - 2014,2014,IA - Calhoun,IA,,,
IA - Calhoun - 2018,2018,IA - Calhoun,IA,,,
IA - Carroll - 2014,2014,IA - Carroll,IA,,,
IA - Carroll - 2018,2018,IA - Carroll,IA,,,
IA - Cass - 2014,2014,IA - Cass,IA,,,
IA - Cass - 2018,2018,IA - Cass,IA,,,
IA - Cedar - 2014,2014,IA - Cedar,IA,,,
IA - Cedar - 2018,2018,IA - Cedar,IA,,,
IA - Cerro Gordo - 2014,2014,IA - Cerro Gordo,IA,,,
IA - Cerro Gordo - 2018,2018,IA - Cerro Gordo,IA,,,
IA - Cherokee - 2014,2014,IA - Cherokee,IA,,,
IA - Cherokee - 2018,2018,IA - Cherokee,IA,,,
IA - Chickasaw - 2014,2014,IA - Chickasaw,IA,,,
IA - Chickasaw - 2018,2018,IA - Chickasaw,IA,,,
IA - Clarke - 2014,2014,IA - Clarke,IA,,,
IA - Clarke - 2018,2018,IA - Clarke,IA,,,
IA - Clay - 2018,2018,IA - Clay,IA,,,
IA - Clayton - 2014,2014,IA - Clayton,IA,,,
IA - Clayton - 2018,2018,IA - Clayton,IA,,,
IA - Clinton - 2014,2014,IA - Clinton,IA,,,
IA - Clinton - 2018,2018,IA - Clinton,IA,,,
IA - Crawford - 2014,2014,IA - Crawford,IA,,,
IA - Crawford - 2018,2018,IA - Crawford,IA,,,
IA - Dallas - 2014,2014,IA - Dallas,IA,,,
IA - Dallas - 2018,2018,IA - Dallas,IA,,,
IA - Davis - 2014,2014,IA - Davis,IA,,,
IA - Davis - 2018,2018,IA - Davis,IA,,,
IA - Decatur - 2014,2014,IA - Decatur,IA,,,
IA - Decatur - 2018,2018,IA - Decatur,IA,,,
IA - Delaware - 2014,2014,IA - Delaware,IA,,,
IA - Delaware - 2018,2018,IA - Delaware,IA,,,
IA - Des Moines - 2014,2014,IA - Des Moines,IA,,,
IA - Des Moines - 2018,2018,IA - Des Moines,IA,,,
IA - Dickinson - 2014,2014,IA - Dickinson,IA,,,
IA - Dickinson - 2018,2018,IA - Dickinson,IA,,,
IA - Dubuque - 2014,2014,IA - Dubuque,IA,,,
IA - Dubuque - 2018,2018,IA - Dubuque,IA,,,
IA - Emmet - 2014,2014,IA - Emmet,IA,,,
IA - Emmet - 2018,2018,IA - Emmet,IA,,,
IA - Fayette - 2014,2014,IA - Fayette,IA,,,
IA - Fayette - 2018,2018,IA - Fayette,IA,,,
IA - Floyd - 2014,2014,IA - Floyd,IA,,,
IA - Floyd - 2018,2018,IA - Floyd,IA,,,
IA - Franklin - 2014,2014,IA - Franklin,IA,,,
IA - Franklin - 2018,2018,IA - Franklin,IA,,,
IA - Fremont - 2014,2014,IA - Fremont,IA,,,
IA - Fremont - 2018,2018,IA - Fremont,IA,,,
IA - Greene - 2014,2014,IA - Greene,IA,,,
IA - Greene - 2018,2018,IA - Greene,IA,,,
IA - Grundy - 2014,2014,IA - Grundy,IA,,,
IA - Grundy - 2018,2018,IA - Grundy,IA,,,
IA - Guthrie - 2014,2014,IA - Guthrie,IA,,,
IA - Guthrie - 2018,2018,IA - Guthrie,IA,,,
IA - Hamilton - 2014,2014,IA - Hamilton,IA,,,
IA - Hamilton - 2018,2018,IA - Hamilton,IA,,,
IA - Hancock - 2014,2014,IA - Hancock,IA,,,
IA - Hancock - 2018,2018,IA - Hancock,IA,,,
IA - Hardin - 2014,2014,IA - Hardin,IA,,,
IA - Hardin - 2018,2018,IA - Hardin,IA,,,
IA - Harrison - 2014,2014,IA - Harrison,IA,,,
IA - Harrison - 2018,2018,IA - Harrison,IA,,,
IA - Henry - 2014,2014,IA - Henry,IA,,,
IA - Henry - 2018,2018,IA - Henry,IA,,,
IA - Howard - 2014,2014,IA - Howard,IA,,,
IA - Howard - 2018,2018,IA - Howard,IA,,,
IA - Humboldt - 2014,2014,IA - Humboldt,IA,,,
IA - Humboldt - 2018,2018,IA - Humboldt,IA,,,
IA - Ida - 2014,2014,IA - Ida,IA,,,
IA - Ida - 2018,2018,IA - Ida,IA,,,
IA - Iowa - 2014,2014,IA - Iowa,IA,,,
IA - Iowa - 2018,2018,IA - Iowa,IA,,,
IA - Jackson - 2014,2014,IA - Jackson,IA,,,
IA - Jackson - 2018,2018,IA - Jackson,IA,,,
IA - Jasper - 2014,2014,IA - Jasper,IA,,,
IA - Jasper - 2018,2018,IA - Jasper,IA,,,
IA - Jefferson - 2014,2014,IA - Jefferson,IA,,,
IA - Jefferson - 2018,2018,IA - Jefferson,IA,,,
IA - Johnson - 2014,2014,IA - Johnson,IA,,,
IA - Johnson - 2018,2018,IA - Johnson,IA,,,
IA - Jones - 2014,2014,IA - Jones,IA,,,
IA - Jones - 2018,2018,IA - Jones,IA,,,
IA - Keokuk - 2014,2014,IA - Keokuk,IA,,,
IA - Keokuk - 2018,2018,IA - Keokuk,IA,,,
IA - Kossuth - 2014,2014,IA - Kossuth,IA,,,
IA - Kossuth - 2018,2018,IA - Kossuth,IA,,,
IA - Lee - 2014,2014,IA - Lee,IA,,,
IA - Lee - 2018,2018,IA - Lee,IA,,,
IA - Linn - 2014,2014,IA - Linn,IA,,,
IA - Linn - 2018,2018,IA - Linn,IA,,,
IA - Louisa - 2014,2014,IA - Louisa,IA,,,
IA - Louisa - 2018,2018,IA - Louisa,IA,,,
IA - Lucas - 2014,2014,IA - Lucas,IA,,,
IA - Lucas - 2018,2018,IA - Lucas,IA,,,
IA - Lyon - 2014,2014,IA - Lyon,IA,,,
IA - Lyon - 2018,2018,IA - Lyon,IA,,,
IA - Madison - 2014,2014,IA - Madison,IA,,,
IA - Madison - 2018,2018,IA - Madison,IA,,,
IA - Mahaska - 2018,2018,IA - Mahaska,IA,,,
IA - Marion - 2014,2014,IA - Marion,IA,,,
IA - Marion - 2018,2018,IA - Marion,IA,,,
IA - Marshall - 2014,2014,IA - Marshall,IA,,,
IA - Marshall - 2018,2018,IA - Marshall,IA,,,
IA - Mills - 2014,2014,IA - Mills,IA,,,
IA - Mills - 2018,2018,IA - Mills,IA,,,
IA - Mitchell - 2014,2014,IA - Mitchell,IA,,,
IA - Mitchell - 2018,2018,IA - Mitchell,IA,,,
IA - Monona - 2014,2014,IA - Monona,IA,,,
IA - Monona - 2018,2018,IA - Monona,IA,,,
IA - Monroe - 2014,2014,IA - Monroe,IA,,,
IA - Monroe - 2018,2018,IA - Monroe,IA,,,
IA - Montgomery - 2014,2014,IA - Montgomery,IA,,,
IA - Montgomery - 2018,2018,IA - Montgomery,IA,,,
IA - Muscatine - 2014,2014,IA - Muscatine,IA,,,
IA - Muscatine - 2018,2018,IA - Muscatine,IA,,,
IA - O'Brien - 2014,2014,IA - O'Brien,IA,,,
IA - O'Brien - 2018,2018,IA - O'Brien,IA,,,
IA - Osceola - 2014,2014,IA - Osceola,IA,,,
IA - Osceola - 2018,2018,IA - Osceola,IA,,,
IA - Page - 2018,2018,IA - Page,IA,,,
IA - Palo Alto - 2014,2014,IA - Palo Alto,IA,,,
IA - Palo Alto - 2018,2018,IA - Palo Alto,IA,,,
IA - Plymouth - 2014,2014,IA - Plymouth,IA,,,
IA - Plymouth - 2018,2018,IA - Plymouth,IA,,,
IA - Pocahontas - 2014,2014,IA - Pocahontas,IA,,,
IA - Pocahontas - 2018,2018,IA - Pocahontas,IA,,,
IA - Polk - 2014,2014,IA - Polk,IA,,,
IA - Polk - 2018,2018,IA - Polk,IA,,,
IA - Pottawattamie - 2014,2014,IA - Pottawattamie,IA,,,
IA - Pottawattamie - 2018,2018,IA - Pottawattamie,IA,,,
IA - Poweshiek - 2014,2014,IA - Poweshiek,IA,,,
IA - Poweshiek - 2018,2018,IA - Poweshiek,IA,,,
IA - Ringgold - 2014,2014,IA - Ringgold,IA,,,
IA - Ringgold - 2018,2018,IA - Ringgold,IA,,,
IA - Sac - 2014,2014,IA - Sac,IA,,,
IA - Sac - 2018,2018,IA - Sac,IA,,,
IA - Scott - 2014,2014,IA - Scott,IA,,,
IA - Scott - 2018,2018,IA - Scott,IA,,,
IA - Shelby - 2014,2014,IA - Shelby,IA,,,
IA - Shelby - 2018,2018,IA - Shelby,IA,,,
IA - Sioux - 2014,2014,IA - Sioux,IA,,,
IA - Sioux - 2018,2018,IA - Sioux,IA,,,
IA - Story - 2014,2014,IA - Story,IA,,,
IA - Story - 2018,2018,IA - Story,IA,,,
IA - Tama - 2014,2014,IA - Tama,IA,,,
IA - Tama - 2018,2018,IA - Tama,IA,,,
IA - Taylor - 2014,2014,IA - Taylor,IA,,,
IA - Taylor - 2018,2018,IA - Taylor,IA,,,
IA - Union - 2014,2014,IA - Union,IA,,,
IA - Union - 2018,2018,IA - Union,IA,,,
IA - Van Buren - 2014,2014,IA - Van Buren,IA,,,
IA - Van Buren - 2018,2018,IA - Van Buren,IA,,,
IA - Wapello - 2014,2014,IA - Wapello,IA,,,
IA - Wapello - 2018,2018,IA - Wapello,IA,,,
IA - Warren - 2014,2014,IA - Warren,IA,,,
IA - Warren - 2018,2018,IA - Warren,IA,,,
IA - Washington - 2014,2014,IA - Washington,IA,,,
IA - Washington - 2018,2018,IA - Washington,IA,,,
IA - Wayne - 2014,2014,IA - Wayne,IA,,,
IA - Wayne - 2018,2018,IA - Wayne,IA,,,
IA - Webster - 2014,2014,IA - Webster,IA,,,
IA - Webster - 2018,2018,IA - Webster,IA,,,
IA - Winnebago - 2014,2014,IA - Winnebago,IA,,,
IA - Winnebago - 2018,2018,IA - Winnebago,IA,,,
IA - Winneshiek - 2014,2014,IA - Winneshiek,IA,,,
IA - Winneshiek - 2018,2018,IA - Winneshiek,IA,,,
IA - Woodbury - 2014,2014,IA - Woodbury,IA,,,
IA - Woodbury - 2018,2018,IA - Woodbury,IA,,,
IA - Worth - 2014,2014,IA - Worth,IA,,,
IA - Worth - 2018,2018,IA - Worth,IA,,,
IA - Wright - 2014,2014,IA - Wright,IA,,,
IA - Wright - 2018,2018,IA - Wright,IA,,,
ID - Ada - 2016,2016,ID - Ada,ID,,,
ID - Adams - 2016,2016,ID - Adams,ID,,,
ID - Bannock - 2012,2012,ID - Bannock,ID,,,
ID - Bannock - 2016,2016,ID - Bannock,ID,,,
ID - Bear Lake - 2012,2012,ID - Bear Lake,ID,,,
ID - Bear Lake - 2016,2016,ID - Bear Lake,ID,,,
ID - Benewah - 2012,2012,ID - Benewah,ID,,,
ID - Benewah - 2016,2016,ID - Benewah,ID,,,
ID - Bingham - 2012,2012,ID - Bingham,ID,,,
ID - Bingham - 2016,2016,ID - Bingham,ID,,,
ID - Blaine - 2012,2012,ID - Blaine,ID,,,
ID - Blaine - 2016,2016,ID - Blaine,ID,,,
ID - Boise - 2016,2016,ID - Boise,ID,,,
ID - Bonner - 2012,2012,ID - Bonner,ID,,,
ID - Bonner - 2016,2016,ID - Bonner,ID,,,
ID - Bonneville - 2016,2016,ID - Bonneville,ID,,,
ID - Boundary - 2012,2012,ID - Boundary,ID,,,
ID - Boundary - 2016,2016,ID - Boundary,ID,,,
ID - Butte - 2012,2012,ID - Butte,ID,,,
ID - Butte - 2016,2016,ID - Butte,ID,,,
ID - Camas - 2016,2016,ID - Camas,ID,,,
ID - Canyon - 2012,2012,ID - Canyon,ID,,,
ID - Canyon - 2016,2016,ID - Canyon,ID,,,
ID - Caribou - 2012,2012,ID - Caribou,ID,,,
ID - Caribou - 2016,2016,ID - Caribou,ID,,,
ID - Cassia - 2016,2016,ID - Cassia,ID,,,
ID - Clark - 2016,2016,ID - Clark,ID,,,
ID - Clearwater - 2012,2012,ID - Clearwater,ID,,,
ID - Clearwater - 2016,2016,ID - Clearwater,ID,,,
ID - Custer - 2012,2012,ID - Custer,ID,,,
ID - Custer - 2016,2016,ID - Custer,ID,,,
ID - Elmore - 2012,2012,ID - Elmore,ID,,,
ID - Elmore - 2016,2016,ID - Elmore,ID,,,
ID - Franklin - 2012,2012,ID - Franklin,ID,,,
ID - Franklin - 2016,2016,ID - Franklin,ID,,,
ID - Fremont - 2012,2012,ID - Fremont,ID,,,
ID - Fremont - 2016,2016,ID - Fremont,ID,,,
ID - Gem - 2012,2012,ID - Gem,ID,,,
ID - Gem - 2016,2016,ID - Gem,ID,,,
ID - Gooding - 2012,2012,ID - Gooding,ID,,,
ID - Gooding - 2016,2016,ID - Gooding,ID,,,
ID - Idaho - 2012,2012,ID - Idaho,ID,,,
ID - Idaho - 2016,2016,ID - Idaho,ID,,,
ID - Jefferson - 2012,2012,ID - Jefferson,ID,,,
ID - Jefferson - 2016,2016,ID - Jefferson,ID,,,
ID - Jerome - 2012,2012,ID - Jerome,ID,,,
ID - Jerome - 2016,2016,ID - Jerome,ID,,,
ID - Kootenai - 2012,2012,ID - Kootenai,ID,,,
ID - Kootenai - 2016,2016,ID - Kootenai,ID,,,
ID - Latah - 2012,2012,ID - Latah,ID,,,
ID - Latah - 2016,2016,ID - Latah,ID,,,
ID - Lemhi - 2012,2012,ID - Lemhi,ID,,,
ID - Lemhi - 2016,2016,ID - Lemhi,ID,,,
ID - Lewis - 2012,2012,ID - Lewis,ID,,,
ID - Lewis - 2016,2016,ID - Lewis,ID,,,
ID - Lincoln - 2012,2012,ID - Lincoln,ID,,,
ID - Lincoln - 2016,2016,ID - Lincoln,ID,,,
ID - Madison - 2012,2012,ID - Madison,ID,,,
ID - Madison - 2016,2016,ID - Madison,ID,,,
ID - Minidoka - 2012,2012,ID - Minidoka,ID,,,
ID - Minidoka - 2016,2016,ID - Minidoka,ID,,,
ID - Nez Perce - 2012,2012,ID - Nez Perce,ID,,,
ID - Nez Perce - 2016,2016,ID - Nez Perce,ID,,,
ID - Oneida - 2012,2012,ID - Oneida,ID,,,
ID - Oneida - 2016,2016,ID - Oneida,ID,,,
ID - Owyhee - 2012,2012,ID - Owyhee,ID,,,
ID - Owyhee - 2016,2016,ID - Owyhee,ID,,,
ID - Payette - 2012,2012,ID - Payette,ID,,,
ID - Payette - 2016,2016,ID - Payette,ID,,,
ID - Power - 2012,2012,ID - Power,ID,,,
ID - Power - 2016,2016,ID - Power,ID,,,
ID - Shoshone - 2012,2012,ID - Shoshone,ID,,,
ID - Shoshone - 2016,2016,ID - Shoshone,ID,,,
ID - Teton - 2012,2012,ID - Teton,ID,,,
ID - Teton - 2016,2016,ID - Teton,ID,,,
ID - Twin Falls - 2012,2012,ID - Twin Falls,ID,,,
ID - Twin Falls - 2016,2016,ID - Twin Falls,ID,,,
ID - Valley - 2012,2012,ID - Valley,ID,,,
ID - Valley - 2016,2016,ID - Valley,ID,,,
ID - Washington - 2012,2012,ID - Washington,ID,,,
ID - Washington - 2016,2016,ID - Washington,ID,,,
IL - Adams - 2012,2012,IL - Adams,IL,,,
IL - Adams - 2016,2016,IL - Adams,IL,,,
IL - Alexander - 2016,2016,IL - Alexander,IL,,,
IL - Bond - 2012,2012,IL - Bond,IL,,,
IL - Bond - 2016,2016,IL - Bond,IL,,,
IL - Boone - 2012,2012,IL - Boone,IL,,,
IL - Boone - 2016,2016,IL - Boone,IL,,,
IL - Brown - 2012,2012,IL - Brown,IL,,,
IL - Brown - 2016,2016,IL - Brown,IL,,,
IL - Bureau - 2016,2016,IL - Bureau,IL,,,
IL - Calhoun - 2012,2012,IL - Calhoun,IL,,,
IL - Calhoun - 2016,2016,IL - Calhoun,IL,,,
IL - Carroll - 2012,2012,IL - Carroll,IL,,,
IL - Carroll - 2016,2016,IL - Carroll,IL,,,
IL - Cass - 2012,2012,IL - Cass,IL,,,
IL - Cass - 2016,2016,IL - Cass,IL,,,
IL - Champaign - 2012,2012,IL - Champaign,IL,,,
IL - Champaign - 2016,2016,IL - Champaign,IL,,,
IL - Christian - 2012,2012,IL - Christian,IL,,,
IL - Christian - 2016,2016,IL - Christian,IL,,,
IL - Clark - 2012,2012,IL - Clark,IL,,,
IL - Clark - 2016,2016,IL - Clark,IL,,,
IL - Clay - 2016,2016,IL - Clay,IL,,,
IL - Clinton - 2012,2012,IL - Clinton,IL,,,
IL - Clinton - 2016,2016,IL - Clinton,IL,,,
IL - Coles - 2012,2012,IL - Coles,IL,,,
IL - Coles - 2016,2016,IL - Coles,IL,,,
IL - Cook - 2012,2012,IL - Cook,IL,,,
IL - Cook - 2016,2016,IL - Cook,IL,,,
IL - Crawford - 2012,2012,IL - Crawford,IL,,,
IL - Crawford - 2016,2016,IL - Crawford,IL,,,
IL - Cumberland - 2012,2012,IL - Cumberland,IL,,,
IL - Cumberland - 2016,2016,IL - Cumberland,IL,,,
IL - DeKalb - 2012,2012,IL - DeKalb,IL,,,
IL - DeKalb - 2016,2016,IL - DeKalb,IL,,,
IL - DeWitt - 2016,2016,IL - DeWitt,IL,,,
IL - Douglas - 2012,2012,IL - Douglas,IL,,,
IL - Douglas - 2016,2016,IL - Douglas,IL,,,
IL - DuPage - 2012,2012,IL - DuPage,IL,,,
IL - DuPage - 2016,2016,IL - DuPage,IL,,,
IL - Edgar - 2012,2012,IL - Edgar,IL,,,
IL - Edgar - 2016,2016,IL - Edgar,IL,,,
IL - Edwards - 2012,2012,IL - Edwards,IL,,,
IL - Edwards - 2016,2016,IL - Edwards,IL,,,
IL - Effingham - 2012,2012,IL - Effingham,IL,,,
IL - Effingham - 2016,2016,IL - Effingham,IL,,,
IL - Fayette - 2012,2012,IL - Fayette,IL,,,
IL - Fayette - 2016,2016,IL - Fayette,IL,,,
IL - Ford - 2016,2016,IL - Ford,IL,,,
IL - Franklin - 2012,2012,IL - Franklin,IL,,,
IL - Franklin - 2016,2016,IL - Franklin,IL,,,
IL - Fulton - 2012,2012,IL - Fulton,IL,,,
IL - Fulton - 2016,2016,IL - Fulton,IL,,,
IL - Gallatin - 2012,2012,IL - Gallatin,IL,,,
IL - Gallatin - 2016,2016,IL - Gallatin,IL,,,
IL - Greene - 2012,2012,IL - Greene,IL,,,
IL - Greene - 2016,2016,IL - Greene,IL,,,
IL - Grundy - 2012,2012,IL - Grundy,IL,,,
IL - Grundy - 2016,2016,IL - Grundy,IL,,,
IL - Hamilton - 2012,2012,IL - Hamilton,IL,,,
IL - Hamilton - 2016,2016,IL - Hamilton,IL,,,
IL - Hancock - 2012,2012,IL - Hancock,IL,,,
IL - Hancock - 2016,2016,IL - Hancock,IL,,,
IL - Hardin - 2012,2012,IL - Hardin,IL,,,
IL - Hardin - 2016,2016,IL - Hardin,IL,,,
IL - Henderson - 2012,2012,IL - Henderson,IL,,,
IL - Henderson - 2016,2016,IL - Henderson,IL,,,
IL - Henry - 2016,2016,IL - Henry,IL,,,
IL - Iroquois - ,,IL - Iroquois,IL,,,
IL - Iroquois - 2016,2016,IL - Iroquois,IL,,,
IL - Jackson - ,,IL - Jackson,IL,,,
IL - Jackson - 2016,2016,IL - Jackson,IL,,,
IL - Jasper - 2016,2016,IL - Jasper,IL,,,
IL - Jefferson - 2016,2016,IL - Jefferson,IL,,,
IL - Jersey - ,,IL - Jersey,IL,,,
IL - Jersey - 2016,2016,IL - Jersey,IL,,,
IL - Jo Daviess - 2012,2012,IL - Jo Daviess,IL,,,
IL - Jo Daviess - 2016,2016,IL - Jo Daviess,IL,,,
IL - Johnson - 2012,2012,IL - Johnson,IL,,,
IL - Johnson - 2016,2016,IL - Johnson,IL,,,
IL - Kane - 2012,2012,IL - Kane,IL,,,
IL - Kane - 2016,2016,IL - Kane,IL,,,
IL - Kankakee - 2012,2012,IL - Kankakee,IL,,,
IL - Kankakee - 2016,2016,IL - Kankakee,IL,,,
IL - Kendall - 2012,2012,IL - Kendall,IL,,,
IL - Kendall - 2016,2016,IL - Kendall,IL,,,
IL - Knox - 2012,2012,IL - Knox,IL,,,
IL - Knox - 2016,2016,IL - Knox,IL,,,
IL - Lake - 2012,2012,IL - Lake,IL,,,
IL - Lake - 2016,2016,IL - Lake,IL,,,
IL - LaSalle - 2012,2012,IL - LaSalle,IL,,,
IL - LaSalle - 2016,2016,IL - LaSalle,IL,,,
IL - Lawrence - 2012,2012,IL - Lawrence,IL,,,
IL - Lawrence - 2016,2016,IL - Lawrence,IL,,,
IL - Lee - 2012,2012,IL - Lee,IL,,,
IL - Lee - 2016,2016,IL - Lee,IL,,,
IL - Livingston - 2012,2012,IL - Livingston,IL,,,
IL - Livingston - 2016,2016,IL - Livingston,IL,,,
IL - Logan - 2012,2012,IL - Logan,IL,,,
IL - Logan - 2016,2016,IL - Logan,IL,,,
IL - Macon - 2012,2012,IL - Macon,IL,,,
IL - Macon - 2016,2016,IL - Macon,IL,,,
IL - Macoupin - 2012,2012,IL - Macoupin,IL,,,
IL - Macoupin - 2016,2016,IL - Macoupin,IL,,,
IL - Madison - 2012,2012,IL - Madison,IL,,,
IL - Madison - 2016,2016,IL - Madison,IL,,,
IL - Marion - 2012,2012,IL - Marion,IL,,,
IL - Marion - 2016,2016,IL - Marion,IL,,,
IL - Marshall - 2012,2012,IL - Marshall,IL,,,
IL - Marshall - 2016,2016,IL - Marshall,IL,,,
IL - Mason - 2012,2012,IL - Mason,IL,,,
IL - Mason - 2016,2016,IL - Mason,IL,,,
IL - Massac - 2012,2012,IL - Massac,IL,,,
IL - Massac - 2016,2016,IL - Massac,IL,,,
IL - McDonough - 2012,2012,IL - McDonough,IL,,,
IL - McDonough - 2016,2016,IL - McDonough,IL,,,
IL - McHenry - 2012,2012,IL - McHenry,IL,,,
IL - McHenry - 2016,2016,IL - McHenry,IL,,,
IL - McLean - 2012,2012,IL - McLean,IL,,,
IL - McLean - 2016,2016,IL - McLean,IL,,,
IL - Menard - 2012,2012,IL - Menard,IL,,,
IL - Menard - 2016,2016,IL - Menard,IL,,,
IL - Mercer - 2012,2012,IL - Mercer,IL,,,
IL - Mercer - 2016,2016,IL - Mercer,IL,,,
IL - Monroe - 2012,2012,IL - Monroe,IL,,,
IL - Monroe - 2016,2016,IL - Monroe,IL,,,
IL - Montgomery - 2012,2012,IL - Montgomery,IL,,,
IL - Montgomery - 2016,2016,IL - Montgomery,IL,,,
IL - Morgan - 2016,2016,IL - Morgan,IL,,,
IL - Moultrie - 2012,2012,IL - Moultrie,IL,,,
IL - Moultrie - 2016,2016,IL - Moultrie,IL,,,
IL - Ogle - 2012,2012,IL - Ogle,IL,,,
IL - Ogle - 2016,2016,IL - Ogle,IL,,,
IL - Peoria - 2012,2012,IL - Peoria,IL,,,
IL - Peoria - 2016,2016,IL - Peoria,IL,,,
IL - Perry - 2012,2012,IL - Perry,IL,,,
IL - Perry - 2016,2016,IL - Perry,IL,,,
IL - Piatt - 2012,2012,IL - Piatt,IL,,,
IL - Piatt - 2016,2016,IL - Piatt,IL,,,
IL - Pike - 2012,2012,IL - Pike,IL,,,
IL - Pike - 2016,2016,IL - Pike,IL,,,
IL - Pope - 2012,2012,IL - Pope,IL,,,
IL - Pope - 2016,2016,IL - Pope,IL,,,
IL - Pulaski - 2016,2016,IL - Pulaski,IL,,,
IL - Putnam - 2016,2016,IL - Putnam,IL,,,
IL - Randolph - 2016,2016,IL - Randolph,IL,,,
IL - Richland - 2016,2016,IL - Richland,IL,,,
IL - Rock Island - 2012,2012,IL - Rock Island,IL,,,
IL - Rock Island - 2016,2016,IL - Rock Island,IL,,,
IL - Saline - 2012,2012,IL - Saline,IL,,,
IL - Saline - 2016,2016,IL - Saline,IL,,,
IL - Sangamon - 2012,2012,IL - Sangamon,IL,,,
IL - Sangamon - 2016,2016,IL - Sangamon,IL,,,
IL - Schuyler - 2012,2012,IL - Schuyler,IL,,,
IL - Schuyler - 2016,2016,IL - Schuyler,IL,,,
IL - Scott - 2012,2012,IL - Scott,IL,,,
IL - Scott - 2016,2016,IL - Scott,IL,,,
IL - Shelby - 2012,2012,IL - Shelby,IL,,,
IL - Shelby - 2016,2016,IL - Shelby,IL,,,
IL - Stark - 2012,2012,IL - Stark,IL,,,
IL - Stark - 2016,2016,IL - Stark,IL,,,
IL - St. Clair - 2012,2012,IL - St. Clair,IL,,,
IL - St. Clair - 2016,2016,IL - St. Clair,IL,,,
IL - Stephenson - 2016,2016,IL - Stephenson,IL,,,
IL - Tazewell - 2012,2012,IL - Tazewell,IL,,,
IL - Tazewell - 2016,2016,IL - Tazewell,IL,,,
IL - Union - 2012,2012,IL - Union,IL,,,
IL - Union - 2016,2016,IL - Union,IL,,,
IL - Vermilion - 2012,2012,IL - Vermilion,IL,,,
IL - Vermilion - 2016,2016,IL - Vermilion,IL,,,
IL - Wabash - 2012,2012,IL - Wabash,IL,,,
IL - Wabash - 2016,2016,IL - Wabash,IL,,,
IL - Warren - 2012,2012,IL - Warren,IL,,,
IL - Warren - 2016,2016,IL - Warren,IL,,,
IL - Washington - 2012,2012,IL - Washington,IL,,,
IL - Washington - 2016,2016,IL - Washington,IL,,,
IL - Wayne - 2012,2012,IL - Wayne,IL,,,
IL - Wayne - 2016,2016,IL - Wayne,IL,,,
IL - White - 2012,2012,IL - White,IL,,,
IL - White - 2016,2016,IL - White,IL,,,
IL - Whiteside - 2012,2012,IL - Whiteside,IL,,,
IL - Whiteside - 2016,2016,IL - Whiteside,IL,,,
